Contig	Average_Coverage	Min_Coverage	Max_Coverage	Median_Coverage
Chromosome-40752/1	1.00	1	1	1.0
Chromosome-17354/2	1.00	1	1	1.0
Chromosome-8872/1	1.00	1	1	1.0
Chromosome-48066/1	1.00	1	1	1.0
Chromosome-53602/1	1.00	1	1	1.0
Chromosome-15344/1	1.00	1	1	1.0
Chromosome-21312/1	1.00	1	1	1.0
Chromosome-10306/1	1.00	1	1	1.0
Chromosome-54098/2	1.00	1	1	1.0
Chromosome-27744/2	1.00	1	1	1.0
Chromosome-42400/2	1.00	1	1	1.0
Chromosome-37636/1	1.00	1	1	1.0
Chromosome-50238/2	1.00	1	1	1.0
Chromosome-59606/2	1.00	1	1	1.0
Chromosome-9430/1	1.00	1	1	1.0
Chromosome-50238/1	1.00	1	1	1.0
Chromosome-34930/1	1.00	1	1	1.0
Chromosome-13462/2	1.00	1	1	1.0
Chromosome-26266/1	1.00	1	1	1.0
Chromosome-13432/1	1.00	1	1	1.0
Chromosome-39580/1	1.00	1	1	1.0
Chromosome-35742/1	1.00	1	1	1.0
Chromosome-59352/1	1.00	1	1	1.0
Chromosome-57634/1	1.00	1	1	1.0
Chromosome-71992/1	1.00	1	1	1.0
Chromosome-71374/2	1.00	1	1	1.0
Chromosome-43332/1	1.00	1	1	1.0
Chromosome-43866/1	1.00	1	1	1.0
Chromosome-43860/2	1.00	1	1	1.0
Chromosome-1018/1	1.00	1	1	1.0
Chromosome-47160/1	1.00	1	1	1.0
Chromosome-23496/2	1.00	1	1	1.0
Chromosome-25828/1	1.00	1	1	1.0
Chromosome-22298/1	1.00	1	1	1.0
Chromosome-47356/1	1.00	1	1	1.0
Chromosome-10168/2	1.05	1	2	1.0
Chromosome-71074/2	1.00	1	1	1.0
Chromosome-5366/2	1.00	1	1	1.0
Chromosome-4230/2	1.00	1	1	1.0
Chromosome-67252/2	1.00	1	1	1.0
Chromosome-90/1	1.00	1	1	1.0
Chromosome-2320/1	1.00	1	1	1.0
Chromosome-47006/1	1.00	1	1	1.0
Chromosome-21058/1	1.00	1	1	1.0
Chromosome-11674/1	1.00	1	1	1.0
Chromosome-50198/1	1.00	1	1	1.0
Chromosome-31950/1	1.00	1	1	1.0
Chromosome-15996/1	1.00	1	1	1.0
Chromosome-38112/2	1.00	1	1	1.0
Chromosome-67834/2	1.00	1	1	1.0
Chromosome-59424/1	1.03	1	2	1.0
Chromosome-208/1	1.00	1	1	1.0
Chromosome-31230/2	1.00	1	1	1.0
Chromosome-16418/2	1.00	1	1	1.0
Chromosome-67766/2	1.03	1	2	1.0
Chromosome-74806/2	1.00	1	1	1.0
Chromosome-17872/2	1.00	1	1	1.0
Chromosome-72480/1	1.00	1	1	1.0
Chromosome-10334/1	1.00	1	1	1.0
Chromosome-54294/2	1.00	1	1	1.0
Chromosome-48158/1	1.00	1	1	1.0
Chromosome-39692/2	1.00	1	1	1.0
Chromosome-26140/2	1.00	1	1	1.0
Chromosome-18816/1	1.00	1	1	1.0
Chromosome-38730/1	1.00	1	1	1.0
Chromosome-34852/2	1.00	1	1	1.0
Chromosome-54124/2	1.00	1	1	1.0
Chromosome-41270/1	1.05	1	2	1.0
Chromosome-72256/2	1.00	1	1	1.0
Chromosome-7156/2	1.00	1	1	1.0
Chromosome-15124/2	1.00	1	1	1.0
Chromosome-71992/2	1.00	1	1	1.0
Chromosome-49080/1	1.00	1	1	1.0
Chromosome-71374/1	1.00	1	1	1.0
Chromosome-54294/1	1.00	1	1	1.0
Chromosome-59424/2	1.00	1	1	1.0
Chromosome-45504/1	1.00	1	1	1.0
Chromosome-45116/1	1.00	0	1	1.0
Chromosome-9350/1	1.00	1	1	1.0
Chromosome-50314/1	1.00	1	1	1.0
Chromosome-54650/2	1.00	1	1	1.0
Chromosome-54878/1	1.00	1	1	1.0
Chromosome-72152/2	1.00	1	1	1.0
Chromosome-42878/2	1.00	1	1	1.0
Chromosome-57282/1	1.00	1	1	1.0
Chromosome-11396/2	1.00	1	1	1.0
Chromosome-54510/1	1.00	1	1	1.0
Chromosome-67246/1	1.00	1	1	1.0
Chromosome-44126/2	1.00	1	1	1.0
Chromosome-28612/1	1.00	1	2	1.0
Chromosome-52380/2	1.00	1	1	1.0
Chromosome-48248/1	1.00	1	1	1.0
Chromosome-77234/2	1.00	1	1	1.0
Chromosome-74352/1	1.00	1	1	1.0
Chromosome-12514/1	1.00	1	1	1.0
Chromosome-5760/2	1.00	1	1	1.0
Chromosome-45116/2	1.00	1	1	1.0
Chromosome-4246/2	1.00	1	1	1.0
Chromosome-58342/2	1.00	1	1	1.0
Chromosome-34114/2	1.00	1	1	1.0
Chromosome-21994/1	1.00	1	1	1.0
